respondent;task;alt;group;chosen;purchase;price_eur;rel_price;rel_price_lvl;comfort;att;speech;app;comfort_2;comfort_4;att_complete;speech_moderate;speech_more_effort;app_invisible
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;4;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_4;0;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;5;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_5;0;1;198;1,1;1,1;2;PARTIAL;EASY;;1;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;5;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_5;0;1;144;0,8;0,8;1;COMPLETE;MORE EFFORT;;0;0;1;0;1;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;5;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_5;1;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;6;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_6;0;1;198;1,1;1,1;4;PARTIAL;;VISIBLE;0;1;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;6;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_6;1;1;144;0,8;0,8;1;COMPLETE;;INVISIBLE;0;0;1;0;0;1
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;6;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_6;0;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;7;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_7;1;1;198;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;7;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_7;0;1;90;0,5;0,5;;PARTIAL;MODERATE;VISIBLE;0;0;0;1;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;7;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_7;0;0;0;0;0;;;;;0;0;0;0;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;8;1;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_8;1;1;90;0,5;0,5;2;;MODERATE;VISIBLE;1;0;0;1;0;0
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;8;2;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_8;0;1;144;0,8;0,8;1;;MODERATE;INVISIBLE;0;0;0;1;0;1
5o02fextmwq5o0sfbjrb9sg5lrhi2m5y;8;3;5o02fextmwq5o0sfbjrb9sg5lrhi2m5y_8;0;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;1;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_1;0;1;48;0,8;0,8;4;PARTIAL;MODERATE;;0;1;0;1;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;1;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_1;1;1;66;1,1;1,1;2;COMPLETE;EASY;;1;0;1;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;1;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_1;0;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;2;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_2;1;1;66;1,1;1,1;2;COMPLETE;;VISIBLE;1;0;1;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;2;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_2;0;1;48;0,8;0,8;4;PARTIAL;;INVISIBLE;0;1;0;0;0;1
njkvqkvcgg872j427njkvqt1zv3zdmh3;2;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_2;0;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;3;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_3;1;1;30;0,5;0,5;;PARTIAL;EASY;VISIBLE;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;3;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_3;0;1;66;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
njkvqkvcgg872j427njkvqt1zv3zdmh3;3;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_3;0;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;4;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_4;0;1;48;0,8;0,8;1;;EASY;INVISIBLE;0;0;0;0;0;1
njkvqkvcgg872j427njkvqt1zv3zdmh3;4;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_4;1;1;30;0,5;0,5;4;;MODERATE;VISIBLE;0;1;0;1;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;4;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_4;0;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;5;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_5;1;1;66;1,1;1,1;2;PARTIAL;EASY;;1;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;5;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_5;0;1;48;0,8;0,8;1;COMPLETE;MORE EFFORT;;0;0;1;0;1;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;5;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_5;0;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;6;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_6;0;1;66;1,1;1,1;4;PARTIAL;;VISIBLE;0;1;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;6;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_6;0;1;48;0,8;0,8;1;COMPLETE;;INVISIBLE;0;0;1;0;0;1
njkvqkvcgg872j427njkvqt1zv3zdmh3;6;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_6;1;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;7;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_7;0;1;66;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
njkvqkvcgg872j427njkvqt1zv3zdmh3;7;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_7;0;1;30;0,5;0,5;;PARTIAL;MODERATE;VISIBLE;0;0;0;1;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;7;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_7;1;0;0;0;0;;;;;0;0;0;0;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;8;1;njkvqkvcgg872j427njkvqt1zv3zdmh3_8;1;1;30;0,5;0,5;2;;MODERATE;VISIBLE;1;0;0;1;0;0
njkvqkvcgg872j427njkvqt1zv3zdmh3;8;2;njkvqkvcgg872j427njkvqt1zv3zdmh3_8;0;1;48;0,8;0,8;1;;MODERATE;INVISIBLE;0;0;0;1;0;1
njkvqkvcgg872j427njkvqt1zv3zdmh3;8;3;njkvqkvcgg872j427njkvqt1zv3zdmh3_8;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;1;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_1;0;1;96;0,8;0,8;4;PARTIAL;MODERATE;;0;1;0;1;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;1;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_1;1;1;132;1,1;1,1;2;COMPLETE;EASY;;1;0;1;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;1;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_1;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;2;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_2;1;1;132;1,1;1,1;2;COMPLETE;;VISIBLE;1;0;1;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;2;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_2;0;1;96;0,8;0,8;4;PARTIAL;;INVISIBLE;0;1;0;0;0;1
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;2;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_2;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;3;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_3;0;1;60;0,5;0,5;;PARTIAL;EASY;VISIBLE;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;3;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_3;1;1;132;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;3;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_3;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;4;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_4;1;1;96;0,8;0,8;1;;EASY;INVISIBLE;0;0;0;0;0;1
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;4;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_4;0;1;60;0,5;0,5;4;;MODERATE;VISIBLE;0;1;0;1;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;4;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_4;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;5;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_5;0;1;132;1,1;1,1;2;PARTIAL;EASY;;1;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;5;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_5;1;1;96;0,8;0,8;1;COMPLETE;MORE EFFORT;;0;0;1;0;1;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;5;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_5;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;6;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_6;0;1;132;1,1;1,1;4;PARTIAL;;VISIBLE;0;1;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;6;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_6;1;1;96;0,8;0,8;1;COMPLETE;;INVISIBLE;0;0;1;0;0;1
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;6;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_6;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;7;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_7;1;1;132;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;7;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_7;0;1;60;0,5;0,5;;PARTIAL;MODERATE;VISIBLE;0;0;0;1;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;7;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_7;0;0;0;0;0;;;;;0;0;0;0;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;8;1;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_8;1;1;60;0,5;0,5;2;;MODERATE;VISIBLE;1;0;0;1;0;0
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;8;2;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_8;0;1;96;0,8;0,8;1;;MODERATE;INVISIBLE;0;0;0;1;0;1
c1nkvhh5p8up07ytffc1nkv3qpk4aq34;8;3;c1nkvhh5p8up07ytffc1nkv3qpk4aq34_8;0;0;0;0;0;;;;;0;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;1;1;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_1;1;1;96;0,8;0,8;4;PARTIAL;MODERATE;;0;1;0;1;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;1;2;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_1;0;1;132;1,1;1,1;2;COMPLETE;EASY;;1;0;1;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;1;3;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_1;0;0;0;0;0;;;;;0;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;2;1;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_2;0;1;132;1,1;1,1;2;COMPLETE;;VISIBLE;1;0;1;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;2;2;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_2;1;1;96;0,8;0,8;4;PARTIAL;;INVISIBLE;0;1;0;0;0;1
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;2;3;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_2;0;0;0;0;0;;;;;0;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;3;1;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_3;0;1;60;0,5;0,5;;PARTIAL;EASY;VISIBLE;0;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;3;2;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_3;1;1;132;1,1;1,1;;COMPLETE;MORE EFFORT;INVISIBLE;0;0;1;0;1;1
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;3;3;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_3;0;0;0;0;0;;;;;0;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;4;1;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_4;0;1;96;0,8;0,8;1;;EASY;INVISIBLE;0;0;0;0;0;1
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;4;2;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_4;1;1;60;0,5;0,5;4;;MODERATE;VISIBLE;0;1;0;1;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;4;3;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_4;0;0;0;0;0;;;;;0;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;5;1;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_5;0;1;132;1,1;1,1;2;PARTIAL;EASY;;1;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;5;2;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_5;0;1;96;0,8;0,8;1;COMPLETE;MORE EFFORT;;0;0;1;0;1;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;5;3;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_5;1;0;0;0;0;;;;;0;0;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;6;1;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_6;1;1;132;1,1;1,1;4;PARTIAL;;VISIBLE;0;1;0;0;0;0
ssrre9fas24pn6lm2ssrre9zyt8hjg3r;6;2;ssrre9fas24pn6lm2ssrre9zyt8hjg3r_6;0;1;96;0,8;0,8;1;COMPLETE;;INVISIBLE;0;0;1;0;0;1
