#,"In the past 12 months, how often have you been exposed to loud sounds, even if they only lasted a short time?",On public transport or on a plane,In traffic,At the cinema or theatre,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),At work,While trying to focus (e.g. studying),When trying to sleep,Other,Have you ever noticed any symptoms after being exposed to loud sounds?,"Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",Ear pain or discomfort,Feeling of pressure or fullness in the ears,Sensitivity to sound,(Temporary) hearing loss or muffled hearing,Headache,Dizziness,Sleep problems,Fatigue,Other,What are you willing to pay for a *simple *pair of earplugs to help protect your hearing?,What are you willing to pay for earplugs *with* advanced technology to help protect your hearing?,"Before we get started, a quick explanation of the term *sound attenuation* (_geluidsdemping (NL)_) to avoid confusion.
gcxicbu2g01nlvvscggcxicj67gr7ww4,Daily,,,At the cinema or theatre,At music concerts or festivals,,Listening to music,In nightclubs or bars,,At sporting events (e.g. motorsports or stadium events),,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,Feeling of pressure or fullness in the ears,,,,,,,,€30,€30,Complete,Option 2,Option 2,Option 1,Sometimes,,Reusable  earplugs,,Noise-cancelling earplugs,,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,I forget to bring it with me,,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,Still being able to understand speech,Better sound quality,,,,,Peer pressure to wear hearing protection,,,,Option 3,Option 1,"B,C,D,A",A lot,Somewhat,Somewhat,Somewhat,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,24,Student Geneeskunde,Bachelor’s degree (HBO or WO),Female,,30.00,33.00,15.00,24.00,0.00,30.00,completed,2026-02-06 13:29:43,,2026-02-06 13:40:13,3821466e56,,
6lrpd5vpww7mst2zylf9q6lrpd3s1kmb,Multiple times a week,On public transport or on a plane,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€60,Complete,Option 2,Option 1,Option 2,Mostly,,Reusable  earplugs,,Noise-cancelling earplugs,,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,,,I forget to bring it with me,,,,,Not applicable — I always wear hearing protection,,,Itching or irritation in my ears,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 2,Option 2,Option 2,,Automatic hearing screening,,,,More comfort,,Feature that helps me find my earplug if I lose it,,,,,,Option 1,Option 1,"C,D,A,B",Very ,A lot,Very ,Somewhat,Wear hearing protection more often,,Get a hearing test,,,,,,,23,Studie (geneeskunde) en 1 uurs contract (helpende + in verzorgingstehuis),Bachelor’s degree (HBO or WO),Female,,60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-02-06 13:05:43,,2026-02-06 13:21:50,bc2022d854,,
lycjuxyvt3arr9oymaoj0lycjux09hes,Less than once a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,thuis feestjes,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€90,Complete,Option 2,Option 1,Option 1,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nooit over nagedacht. Ik ben niet vaak op zo'n evenementen en heb niet vaak blootstelling,Option 1,Option 1,Option 1,,,,Still being able to understand speech,Better sound quality,,Easy to clean ('hygiene'),,,,,,,Option 2,Option 2,"D,C,A,B",A lot,Very ,Very ,Somewhat,,,Get a hearing test,,,,,,,30,jurist / clerk,Bachelor’s degree (HBO or WO),Female,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-06 12:33:48,,2026-02-06 12:44:03,fa658e92b5,,
velk62a4emkhjv6xzwvelk63ftvvbilk,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€90,Complete,Option 2,Option 3,Option 3,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It affects sounds quality,,,It makes communication more difficult,,Option 1,Option 3,Option 2,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 3,Option 3,"C,D,A,B",A little,Not at all,A little,Very ,,,Get a hearing test,,,,,,,25,ambtenaar,Bachelor’s degree (HBO or WO),Female,makkelijk mee te nemen,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-06 11:32:53,,2026-02-06 11:47:04,fa658e92b5,,
3lnvbwzkn9tnekwj3lnvrasmhjjenlow,Multiple times a month,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€30,€90,Complete,Option 2,Option 1,Option 3,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I do not feel it is necessary,,,I forget to bring it with me,,,,,,,Option 1,Option 3,Option 2,,,,Still being able to understand speech,Better sound quality,,,,Reminders via phone/app,,,,,Option 3,Option 3,"B,C,D,A",Somewhat,A lot,A lot,A lot,,,Get a hearing test,,,,,,,36,Commercieel manager,Bachelor’s degree (HBO or WO),Female,,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-06 11:04:44,,2026-02-06 11:22:01,b25ac33e4a,,
66m5gy0fww0cm5gxs66m5ldyec1m69q6,Less than once a month,,,,At music concerts or festivals,,,,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€60,€90,Complete,Option 2,Option 1,Option 2,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ik heb mij er nooit echt goed in verdiept en ik kom niet zo vaak op plekken met hard geluid,Option 2,Option 2,Option 2,Current risk of hearing damage,,If my hearing protection reduced noise more effectively,,,,,,,,,,bij hard geluid melding krijgen via telefoon,Option 1,Option 1,"C,A,B,D",Very ,Very ,Very ,A lot,Wear hearing protection more often,,Get a hearing test,,,,,,,22,de pabo,High school diploma (VMBO / HAVO / VWO),Female,een app waar je een reminder krijgt wanneer je te dicht bij hard geluid bent.,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-06 10:29:09,,2026-02-06 10:45:31,610454130f,,
5x5hdgc5qct9s57t5x5hbskgf4fp5mzo,Less than once a month,,In traffic,,,,,,,,,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€60,€180,Complete,Option 2,Option 1,Option 2,Sometimes,,Reusable  earplugs,,,,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,"At sporting events (e.g. stadium events, motorsports)",,,While trying to focus (e.g. studying),,Restaurants,,,I forget to bring it with me,,,It is uncomfortable,It makes communication more difficult,,,,Itching or irritation in my ears,,It is uncomfortable,,,Pressure in my ears,,,,,,,,,,,,,,,Option 1,Option 3,Option 2,,,,Still being able to understand speech,Better sound quality,More comfort,,,,,,,,Option 3,Option 1,"C,D,A,B",Very ,Somewhat,Very ,A lot,,,Get a hearing test,,,,,,,49,Entrepreneur,Bachelor’s degree (HBO or WO),Male,Nope,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-02-06 09:32:16,,2026-02-06 09:50:38,6811df527d,,
g37eet0hug5dfu8l4gb9mg37eet0hth5,Multiple times a week,,,,,,Listening to music,,,,,While trying to focus (e.g. studying),,Kids,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€180,Complete,Option 3,Option 3,Option 3,Sometimes,,Reusable  earplugs,,Noise-cancelling earplugs,,,On public transport or on a plane,,,,,,,,,While trying to focus (e.g. studying),,Kids,,,I forget to bring it with me,,It is inconvenient,,,,,,Itching or irritation in my ears,,,Hygiene concerns,I don’t think I need to wear it all the time,,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 1,Option 3,,,If my hearing protection reduced noise more effectively,,,More comfort,,,,,,More appealing design,,Option 3,Option 3,"C,D,B,A",Very ,A lot,Somewhat,Somewhat,,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,37,Marketing Director,Master’s degree,Female,"I would share my preferred option: more wear time (e.g. 2-4 hours), easy speech understanding, partial or complete attenuation, higher willingness to pay for these features, should look good, comfort",180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-02-06 08:31:58,,2026-02-06 08:52:09,b67a168bd9,,
e122k86ok5ba6p19m9ze122k8qpk336r,Weekly,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,,,,,"Yes, mild symptoms (lasting less than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€60,€60,Complete,Option 2,Option 1,Option 1,Always,,Reusable  earplugs,,,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,,,,,I forget to bring it with me,,,,,Not applicable — I always wear hearing protection,,,Itching or irritation in my ears,Difficulty communicating,,,,,,Sweat or moisture in my ear(s),,,,,,,,,,,,,Option 2,Option 1,Option 1,,,,,Better sound quality,,Easy to clean ('hygiene'),Feature that helps me find my earplug if I lose it,,,,,,Option 3,Option 1,"D,C,B,A",Very ,Very ,Somewhat,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,,Check again later,,,I don't know,,24,Studie geneeskunde,Bachelor’s degree (HBO or WO),Female,"Het zou heel handig zijn als je de oortjes kon vastklikken aan je telefoon (hoesje), want die heb je altijd bij je . Of aan iets anders logisch vastklikken wat je altijd bij je hebt (pasjeshouders?).",60.00,66.00,30.00,48.00,0.00,60.00,completed,2026-02-06 08:03:55,,2026-02-06 08:21:15,c6064f2e6b,,
i4qkv2oqb71ku5hzwgti4qkv2b3gtcct,Multiple times a month,,,,At music concerts or festivals,,Listening to music,In nightclubs or bars,,,At work,,,,"Yes, mild symptoms (lasting less than 24 hours)",,Ear pain or discomfort,,,,,,,,Oorpijn bij koud weer/harde wind,€30,€120,Complete,Option 2,Option 1,Option 3,Sometimes,,Reusable  earplugs,,Noise-cancelling earplugs,,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,"At sporting events (e.g. stadium events, motorsports)",,At work (noise exposure),,,,,,I forget to bring it with me,,,,It makes communication more difficult,,,,Itching or irritation in my ears,Difficulty communicating,,,,Pressure in my ears,,,,,,,,,,,,,,,Option 2,Option 3,Option 3,Current risk of hearing damage,,,Still being able to understand speech,,,,Feature that helps me find my earplug if I lose it,,,,,,Option 3,Option 1,"C,D,B,A",Very ,Very ,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,Do my own research on hearing loss,,,,,,28,tandarts / geneeskunde student,Master’s degree,Female,,120.00,132.00,60.00,96.00,0.00,120.00,completed,2026-02-05 21:04:23,,2026-02-05 21:22:25,fa658e92b5,,
peuerfl2v198vuvvuypvpeuerglcknkd,Multiple times a month,On public transport or on a plane,,,At music concerts or festivals,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,,,,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,Sensitivity to sound,(Temporary) hearing loss or muffled hearing,,,Sleep problems,,,€30,€150,Complete,Option 1,Option 2,Option 1,Mostly,,Reusable  earplugs,,Noise-cancelling earplugs,Custom-made earplugs,,On public transport or on a plane,,,At music concerts or festivals,,In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,,,,,,I forget to bring it with me,,,,It makes communication more difficult,,,,,Difficulty communicating,,,,,,,,Slechte pasvorm waardoor die soms uitgaat tijdens het eten,,,,,,,,,,,Option 2,Option 3,Option 1,,Automatic hearing screening,,Still being able to understand speech,,,,Feature that helps me find my earplug if I lose it,,,,,,Option 2,Option 1,"C,D,A,B",A lot,A lot,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),,,,,,,opzoeken wat ik kan doen om het te voorkomen,28,tandarts,Master’s degree,Male,,150.00,165.00,75.00,120.00,0.00,150.00,completed,2026-02-05 20:22:30,,2026-02-05 20:43:07,fa658e92b5,,
egitznoe5jq23tldqmwegitznojq24mr,Multiple times a month,,,,At music concerts or festivals,,,In nightclubs or bars,,,,,When trying to sleep,,"Yes, severe symptoms (lasting longer than 24 hours)","Buzzing, whistling, ringing, hissing, roaring, or clicking ('tinnitus')",,,,,,,,,,€60,€90,Complete,Option 2,Option 3,Option 3,Mostly,,Reusable  earplugs,,Noise-cancelling earplugs,,,,,,At music concerts or festivals,,In nightclubs or bars,,,,,When trying to sleep,Bij overprikkeling,I do not feel it is necessary,,I forget to bring it with me,,,,,,,,,,It is uncomfortable,,,,,,,,,,,,,,,,,,Option 1,Option 3,Option 2,,,If my hearing protection reduced noise more effectively,,Better sound quality,,,,,,,More appealing design,,Option 3,Option 2,"C,D,A,B",Very ,Very ,A lot,A lot,Wear hearing protection more often,,Get a hearing test,,,,,,,25,"medicine, research",Bachelor’s degree (HBO or WO),Female,Meer informatie delen onder de jeugd want ik heb het idee dat er nog een stigma over heen hangt. Aantrekkelijk maken (qua uiterlijk),90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-05 19:55:12,,2026-02-05 20:12:02,fa658e92b5,,
svt7rulz9zfte39405svt7rrlu8uc6wa,Daily,,,At the cinema or theatre,,,,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",,At work,While trying to focus (e.g. studying),,,"Yes, mild symptoms (lasting less than 24 hours)",,Ear pain or discomfort,Feeling of pressure or fullness in the ears,,,,,,,,€60,€180,Complete,Option 3,Option 2,Option 1,Sometimes,,Reusable  earplugs,,Noise-cancelling earplugs,,,,,,At music concerts or festivals,,,,,At work (noise exposure),While trying to focus (e.g. studying),,,I do not feel it is necessary,,I forget to bring it with me,,,It is uncomfortable,It makes communication more difficult,,,,,Difficulty communicating,It is uncomfortable,,,Pressure in my ears,Reduced sound quality,,,,,,,,,,,,,,Option 2,Option 3,Option 3,,,,Still being able to understand speech,Better sound quality,,,,,Peer pressure to wear hearing protection,,,,Option 3,Option 1,"C,D,A,B",Somewhat,Somewhat,A lot,A lot,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,25,student tandheelkunde / mondhygiënist,Bachelor’s degree (HBO or WO),Female,op maat,180.00,198.00,90.00,144.00,0.00,180.00,completed,2026-02-05 16:30:16,,2026-02-05 16:44:58,ff5526a69e,,
7z91fnu1c161drzehut7z915rbgsvyjp,Multiple times a week,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),Listening to music,In nightclubs or bars,"When using power tools or machinery (e.g. drilling, sawing, grinding, gardening)",At sporting events (e.g. motorsports or stadium events),,,,,"No, I did not experience any  symptoms",,,,,,,,,,,€30,€90,Complete,Option 3,Option 3,Option 3,Always,,Reusable  earplugs,,,Custom-made earplugs,,,,,At music concerts or festivals,When playing music (instruments / band / orchestra / DJ),In nightclubs or bars,,"When using power tools or machinery (e.g., drilling, sawing, grinding, gardening)",,While trying to focus (e.g. studying),,,,,,,,,,Not applicable — I always wear hearing protection,,,,Difficulty communicating,,,,,,,,,,,,,,,,,,,Option 3,Option 3,Option 3,,,,Still being able to understand speech,Better sound quality,,Easy to clean ('hygiene'),,,,,,,Option 3,Option 3,"C,D,A,B",Very ,Somewhat,A lot,Very ,Wear hearing protection more often,Try to reduce my sound exposure (change my habits),Get a hearing test,,,,,,,25,DJ / Producer / Data Analyst,Master’s degree,Male,Filter adjustable to environment / exposure. Manually. Speech focus on or off.,90.00,99.00,45.00,72.00,0.00,90.00,completed,2026-02-05 16:04:14,,2026-02-05 16:20:31,9d76e23bd8,,
